Date Time, Monitor ID, Location ID, O3(ppm)
13 dic 2019 07:20,1,1,0,000
13 dic 2019 07:21,1,1,0,000
13 dic 2019 07:22,1,1,0,001
13 dic 2019 07:23,1,1,0,001
13 dic 2019 07:24,1,1,0,004
13 dic 2019 07:25,1,1,0,003
13 dic 2019 07:26,1,1,0,005
13 dic 2019 07:27,1,1,0,005
13 dic 2019 07:28,1,1,0,006
13 dic 2019 07:29,1,1,0,007
13 dic 2019 07:30,1,1,0,006
13 dic 2019 07:31,1,1,0,007
13 dic 2019 07:32,1,1,0,007
13 dic 2019 07:33,1,1,0,007
13 dic 2019 07:34,1,1,0,009
13 dic 2019 07:35,1,1,0,009
13 dic 2019 07:36,1,1,0,008
13 dic 2019 07:37,1,1,0,009
13 dic 2019 07:38,1,1,0,010
13 dic 2019 07:39,1,1,0,010
13 dic 2019 07:40,1,1,0,011
13 dic 2019 07:41,1,1,0,011
13 dic 2019 07:42,1,1,0,011
13 dic 2019 07:43,1,1,0,010
13 dic 2019 07:44,1,1,0,012
13 dic 2019 07:45,1,1,0,012
13 dic 2019 07:46,1,1,0,013
13 dic 2019 07:47,1,1,0,012
13 dic 2019 07:48,1,1,0,012
13 dic 2019 07:49,1,1,0,013
13 dic 2019 07:50,1,1,0,012
13 dic 2019 07:51,1,1,0,036
13 dic 2019 07:52,1,1,0,070
13 dic 2019 07:53,1,1,0,096
13 dic 2019 07:54,1,1,0,119
13 dic 2019 07:55,1,1,0,141
13 dic 2019 07:56,1,1,0,157
13 dic 2019 07:57,1,1,0,168
13 dic 2019 07:58,1,1,0,178
13 dic 2019 07:59,1,1,0,185
13 dic 2019 08:00,1,1,0,190
13 dic 2019 08:01,1,1,0,194
13 dic 2019 08:02,1,1,0,197
13 dic 2019 08:03,1,1,0,203
13 dic 2019 08:04,1,1,0,206
13 dic 2019 08:05,1,1,0,208
13 dic 2019 08:06,1,1,0,213
13 dic 2019 08:07,1,1,0,216
13 dic 2019 08:08,1,1,0,218
13 dic 2019 08:09,1,1,0,220
13 dic 2019 08:10,1,1,0,222
13 dic 2019 08:11,1,1,0,224
13 dic 2019 08:12,1,1,0,223
13 dic 2019 08:13,1,1,0,225
13 dic 2019 08:14,1,1,0,227
13 dic 2019 08:15,1,1,0,228
13 dic 2019 08:16,1,1,0,230
13 dic 2019 08:17,1,1,0,230
13 dic 2019 08:18,1,1,0,230
13 dic 2019 08:19,1,1,0,231
13 dic 2019 08:20,1,1,0,234
13 dic 2019 08:21,1,1,0,234
13 dic 2019 08:22,1,1,0,236
13 dic 2019 08:23,1,1,0,236
13 dic 2019 08:24,1,1,0,237
13 dic 2019 08:25,1,1,0,237
13 dic 2019 08:26,1,1,0,238
13 dic 2019 08:27,1,1,0,239
13 dic 2019 08:28,1,1,0,239
13 dic 2019 08:29,1,1,0,239
13 dic 2019 08:30,1,1,0,237
13 dic 2019 08:31,1,1,0,242
13 dic 2019 08:32,1,1,0,240
13 dic 2019 08:33,1,1,0,241
13 dic 2019 08:34,1,1,0,241
13 dic 2019 08:35,1,1,0,241
13 dic 2019 08:36,1,1,0,244
13 dic 2019 08:37,1,1,0,242
13 dic 2019 08:38,1,1,0,243
13 dic 2019 08:39,1,1,0,242
13 dic 2019 08:40,1,1,0,241
13 dic 2019 08:41,1,1,0,244
13 dic 2019 08:42,1,1,0,247
